first_six_num,lon,lat
340902,117.2160052,31.85925242
348422,117.2160052,31.85925242
345023,117.2160052,31.85925242
345444,117.2160052,31.85925242
344221,117.2160052,31.85925242
348421,117.2160052,31.85925242
344234,117.2160052,31.85925242
345076,117.2160052,31.85925242
349621,117.2160052,31.85925242
343220,117.2160052,31.85925242
346228,117.2160052,31.85925242
343426,117.2160052,31.85925242
347321,117.2160052,31.85925242
348321,117.2160052,31.85925242
345782,117.2160052,31.85925242
344624,117.2160052,31.85925242
347323,117.2160052,31.85925242
343333,117.2160052,31.85925242
345908,117.2160052,31.85925242
349825,117.2160052,31.85925242
347576,117.2160052,31.85925242
346819,117.2160052,31.85925242
347120,117.2160052,31.85925242
343422,117.2160052,31.85925242
343223,117.2160052,31.85925242
347403,117.2160052,31.85925242
340900,117.2160052,31.85925242
347024,117.2160052,31.85925242
343201,117.2160052,31.85925242
347522,117.2160052,31.85925242
343292,117.2160052,31.85925242
349701,117.2160052,31.85925242
343403,117.2160052,31.85925242
340003,117.2160052,31.85925242
340063,117.2160052,31.85925242
340027,117.2160052,31.85925242
340012,117.2160052,31.85925242
342801,117.0587388,30.53789782
340807,117.0587388,30.53789782
340862,117.0587388,30.53789782
340820,117.0587388,30.53789782
340882,117.0587388,30.53789782
340833,117.0587388,30.53789782
340844,117.0587388,30.53789782
340812,117.0587388,30.53789782
340871,117.0587388,30.53789782
340849,117.0587388,30.53789782
340872,117.0587388,30.53789782
340851,117.0587388,30.53789782
340854,117.0587388,30.53789782
342821,116.8035269,30.57902453
342825,116.1825392,30.50109967
340821,116.953559,30.97256797
342827,116.6880923,30.24256822
342826,116.2535184,30.10821664
342828,116.2200704,30.90182114
340320,117.3570799,32.92949891
340381,117.3570799,32.92949891
340324,117.3570799,32.92949891
340327,117.3570799,32.92949891
340382,117.3570799,32.92949891
341664,115.7879282,33.87121057
341605,115.7879282,33.87121057
341623,116.1662718,33.15737576
341622,116.5915121,33.22304396
341602,115.8128142,33.78292441
341621,116.2235505,33.55794905
342637,117.8804904,31.60873255
342607,117.8804904,31.60873255
342635,117.8804904,31.60873255
342627,117.8804904,31.60873255
342630,117.8804904,31.60873255
342624,117.8804904,31.60873255
341427,117.8804904,31.60873255
341423,118.0565588,31.64322583
341402,117.7280641,31.6506889
341401,117.8804904,31.60873255
342925,117.4944768,30.66001925
342929,117.4944768,30.66001925
342932,117.4944768,30.66001925
341700,117.4944768,30.66001925
341721,117.0068274,30.03406991
342829,117.0068274,30.03406991
341702,117.5084777,30.51408569
340224,117.9081591,30.60201346
341722,117.5382819,30.19916054
342307,117.2160052,31.85925242
342342,117.2160052,31.85925242
342362,117.2160052,31.85925242
342323,117.2160052,31.85925242
342326,117.6114723,32.79221496
342327,118.2510148,32.53716076
342322,118.5356296,32.47371164
342324,118.1057783,32.06993275
341192,118.3245704,32.3173506
341134,118.3245704,32.3173506
341112,118.3245704,32.3173506
341130,118.3245704,32.3173506
341120,118.3245704,32.3173506
342301,118.3375689,32.33845808
341121,118.9729126,32.72121378
342181,115.8209323,32.90121133
342102,115.8209323,32.90121133
342115,115.8209323,32.90121133
342103,115.8209323,32.90121133
342187,115.8209323,32.90121133
342104,115.8209323,32.90121133
342126,115.8209323,32.90121133
342127,115.6540985,32.65588118
342100,115.8209323,32.90121133
342130,117.2160052,31.85925242
342122,115.2484614,32.90976941
342124,117.2160052,31.85925242
342128,116.2653142,32.66246022
341293,115.8209323,32.90121133
341259,115.8209323,32.90121133
341257,115.8209323,32.90121133
341266,115.8209323,32.90121133
341241,115.8209323,32.90121133
341229,115.8209323,32.90121133
341267,115.8209323,32.90121133
341231,115.8209323,32.90121133
340117,117.2826991,31.86694226
340113,117.2826991,31.86694226
340127,117.2826991,31.86694226
340107,117.2826991,31.86694226
340120,117.2826991,31.86694226
340181,117.7717834,31.67605857
340685,116.7914474,33.96002331
340626,116.7914474,33.96002331
340631,116.7914474,33.96002331
340620,116.7914474,33.96002331
340682,116.7914474,33.96002331
340606,116.7914474,33.96002331
340622,116.7914474,33.96002331
340428,117.0186389,32.64281182
340408,117.0186389,32.64281182
340431,117.0186389,32.64281182
340407,117.0186389,32.64281182
340425,117.0186389,32.64281182
340409,117.0186389,32.64281182
341007,118.2935696,29.73443486
341025,118.2935696,29.73443486
341027,118.2935696,29.73443486
341028,118.2935696,29.73443486
342727,118.0775461,30.2777459
342726,117.6005281,29.87370569
342725,117.9107505,30.01477848
342705,118.2785913,29.9021404
342405,116.5052527,31.75555836
342433,116.5052527,31.75555836
342472,116.5052527,31.75555836
